"nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","shortName","nLocomotor","nTrophic"
49,49,2.05052296605949e-05,0.245927495326894,0.930723771493346,0.63747510061848,0.172210757359064,0.033518968959245,158016.020459184,2.59574468085106,2.95744680851064,3.78723404255319,3.80851063829787,2.95744680851064,3.76595744680851,3.27659574468085,3.1063829787234,4,"0","1","0","0","Benoue NP",5,15
54,54,1.00732891234667e-06,0.245927495326894,0.926908579625243,0.651709179675627,0.17066640162177,0.0328161985844715,171162.272361111,2.65384615384615,2.75,3.82692307692308,3.80769230769231,3.03846153846154,3.73076923076923,3.26923076923077,3.32692307692308,3.94230769230769,"0","1","0","0","BHINE",5,17
53,53,2.10043101428868e-06,0.245927495326894,0.905344017552783,0.643673232849839,0.159268252691995,0.0284015924316131,85497.0514622641,2.68,2.74,3.86,3.86,3.28,3.78,3.26,3.32,4,"0","1","0","0","Bikuar NP",5,17
43,43,1.89444282380408e-06,0.245927495326894,0.920763935178982,0.660982755966811,0.167380327275562,0.031992649493782,53081.1001744186,2.54761904761905,2.90476190476191,3.76190476190476,3.78571428571429,3.04761904761905,3.80952380952381,3.40476190476191,3.14285714285714,4,"0","1","0","0","Binder",5,15
40,40,1.53588404973954e-06,0.245927495326894,0.914567023688621,0.664136872293211,0.174230395669764,0.0354058972128373,131289.9029375,2.525,2.85,3.825,3.775,3.075,3.8,3.3,2.975,4,"0","1","0","0","Bontioli Reserve",4,14
14,14,2.12847652035978e-08,0.245927495326894,0.990795074002144,0.647177875421659,0.155223517836448,0.0275772232657102,21634.3171428571,2.35714285714286,2.57142857142857,3.71428571428571,3.78571428571429,2.85714285714286,3.57142857142857,3.58333333333333,3.16666666666667,4,"0","1","0","0","Bou-Hedma NP",2,11
48,48,7.76322953228067e-05,0.245927495326894,0.839433172056589,0.667917694442937,0.203724609108446,0.0453721023701846,116094.368645833,2.76086956521739,2.84782608695652,3.80434782608696,3.54347826086956,2.04347826086957,3.67391304347826,3.21739130434783,3.39130434782609,4,"0","1","0","0","Boumba Bek/Neki NP",5,13
42,42,0.000111796242675154,0.245927495326894,0.906152427577023,0.652458728345845,0.203440723603659,0.0459947571764078,167013.309714286,2.64102564102564,2.84615384615385,3.74358974358974,3.74358974358974,2.38461538461538,3.71794871794872,3.15384615384615,3.23076923076923,4,"0","1","0","0","Budongo",5,16
13,13,1.36466586965848e-08,0.245927495326894,0.996668055761086,0.655821631229478,0.187553089456966,0.037963535555358,491799.732307692,2.92307692307692,3.53846153846154,4,4,2.15384615384615,3.53846153846154,2.84615384615385,2.84615384615385,4,"0","1","0","0","Budongo Forest",4,10
42,42,1.42534625966611e-06,0.245927495326894,0.90489139031215,0.66194617007822,0.162476000559808,0.0303045232196836,50252.3389880952,2.53658536585366,2.82926829268293,3.82926829268293,3.82926829268293,3.14634146341463,3.73170731707317,3.14634146341463,3.4390243902439,4,"0","1","0","0","Bufalo PR",5,16
49,49,0.000100195254582769,0.245927495326894,0.921165501400921,0.650673123185,0.179355860395554,0.0347333110488901,71146.9709353741,2.82978723404255,2.85106382978723,3.93617021276596,3.85106382978723,2.82978723404255,3.65957446808511,3.14893617021277,3.19148936170213,4,"0","1","0","0","Bururi Forest NR",5,16
48,48,8.95948292854095e-05,0.245927495326894,0.82556964242677,0.667649133637201,0.203521386235196,0.0451326900376008,143343.4909375,2.73913043478261,2.91304347826087,3.8695652173913,3.54347826086956,1.97826086956522,3.67391304347826,3.21739130434783,3.28260869565217,4,"0","1","0","0","Campo Ma'an NP",5,13
16,16,6.13835357699176e-08,0.245927495326894,0.993296291005029,0.661656648726497,0.155065513253211,0.028124367906583,19670.571875,2.375,2.6875,3.5625,3.8125,3,3.625,3.64285714285714,3.28571428571429,4,"0","1","0","0","Chambi NP",3,11
