shortName,fullName,country,latitude,longitude,WDPA_ID,Notes
Serengeti Plains,Serengeti Plains,Tanzania,-2.75,35,NA,
Shimba Hills NR,Shimba Hills Nature Reserve,Kenya,-4.21,39.41,NA,too many options
SS Grassland,SS Grasslands,South Africa,-26.35,25.4,NA,
Sudan,Sudan Savanna,Nigeria,12.65,6.95,NA,
Sudan Woodland,Sudan Woodland,Nigeria,10,7.5,NA,
Tai,Tai Forest,"Cote dIvoire (Ivory Coast),",6,-7,NA,
Tambarara,Tambarara,Mozambique,-18.67,34.33,NA,
Tana,Tana,Kenya,-2.25,40.2,NA,
LakeNaivashaHellGate,"Lake Naivasha & Hell's Gate NP, Great Rift Valley",Kenya,-0.88,36.3,,are these acutally two sites in one?
Sokoke-Gedi,Sokoke-Gedi,Kenya,-3.3,39.93,,not sure
Southwest Arid,Southwest Arid (Nama Karoo),South Africa,-26,20,,not sure
